Trial_num,Total_rollout_steps,Success,Final_baseline_cost (0.05 lambda),Comp_pos_error,Comp_quat_error,Mpc_horizon,pos_weight
0,933,True,0.003811009431399399,0.011152459317828612,0.0037368533719405184,6,0.05
1,1500,False,0.023790865096984432,0.05387033706978007,0.023487032046754175,6,0.05
2,1500,False,0.0021942877463399122,0.21158868853601207,7.919278886847625e-05,6,0.05
3,1500,False,0.0016690287422995351,0.026208820570521964,0.0014211520571659753,6,0.05
4,1500,False,0.0005642677140923083,0.03359544697440734,0.00023061943873559088,6,0.05
5,1187,True,0.01637379847275459,0.017865545571859435,0.01635873032023838,6,0.05
6,1500,False,0.07139543431385756,0.09789188034385962,0.07112779344486764,6,0.05
7,1500,False,0.006772229905605234,0.23109659747903918,0.004506327202843274,6,0.05
8,1500,False,0.9477196681194142,0.011905522383780308,0.957172336258158,6,0.05
9,1500,False,0.497454864312493,0.2574013639455187,0.49987964714448263,6,0.05
10,1274,True,0.0022641819379462663,0.018881890256614433,0.00209632629836376,6,0.05
11,1310,True,0.016577169219516533,0.010662307113274089,0.01663691530139777,6,0.05
12,1500,False,0.9812894316803155,0.16029343820405656,0.9895823205033081,6,0.05
13,1500,False,0.986929014544904,0.10120977636278296,0.9958756735164406,6,0.05
14,1500,False,0.005148522148670898,0.09485555512909997,0.0042423905024039366,6,0.05
15,1237,True,0.01422392424117269,0.014474424632351515,0.014221393934191084,6,0.05
16,1500,False,0.9889262019999836,0.043932934952600776,0.9984715885358157,6,0.05
17,1500,False,0.9676670324670249,0.011090216041883724,0.9773294245521273,6,0.05
18,1500,False,0.004291321469728063,0.296826458224992,0.00133642109846277,6,0.05
19,1500,False,0.9418650955458383,0.234348091816591,0.9490117319471438,6,0.05
20,1500,False,0.030739716894593733,0.20841013704836187,0.028945066185969814,6,0.05
21,1500,False,0.03440777149927966,0.011628371669277462,0.034637866447057464,6,0.05
22,1500,False,0.9834064730793463,0.08523950802059763,0.9924788666657983,6,0.05
23,1500,False,0.03285892568366621,0.04370569597475727,0.03274936234739256,6,0.05
24,1500,False,0.00025837073498074115,0.024648350762500538,1.2007300359329065e-05,6,0.05
25,1500,False,0.04830615314895557,0.04599954673751167,0.04832945220361662,6,0.05
26,324,True,0.012182589714518268,0.012344307695194415,0.012180956199561943,6,0.05
27,1500,False,0.018719543683272784,0.031217531713990124,0.018593301379932203,6,0.05
28,1500,False,0.5179661940808269,0.14187084185801552,0.5217651370325724,6,0.05
29,1500,False,0.03289397269488272,0.19820418726697858,0.031224172547689832,6,0.05
30,1372,True,0.0025858912465136323,0.010797526578519553,0.002502945435079229,6,0.05
31,1500,False,0.04182908134313587,0.1837405393909569,0.04039563227194576,6,0.05
32,1500,False,0.04096994603372503,0.1276656203475379,0.04009423215176733,6,0.05
33,1497,True,0.022384759207568314,0.009104213161525498,0.022518906137326322,6,0.05
34,1500,False,0.4988516434285657,0.26745911128556543,0.5011889417330404,6,0.05
35,1286,True,0.0347600282264471,0.00740086603748526,0.03503638340007298,6,0.05
36,1284,True,0.0022912342140761197,0.012207858617959904,0.0021910662908045664,6,0.05
37,1500,False,0.0017443829301128316,0.03164095626129143,0.0014423973409090074,6,0.05
38,1500,False,0.00333875842283193,0.23306775336674246,0.0010182635244085914,6,0.05
39,1500,False,0.6332325888826736,0.33208385522690276,0.636274495283237,6,0.05
40,1500,False,0.2314009250851016,0.3442145044935237,0.23026139397996603,6,0.05
41,1500,False,0.03265986465466193,0.1363676018304559,0.03161231175389634,6,0.05
42,1500,False,0.03363972838480004,0.17441652357076512,0.032217740554638774,6,0.05
43,951,True,0.03713085828807358,0.01747051264340716,0.03732944763801971,6,0.05
44,1500,False,0.9426625010559111,0.021240275057479347,0.9519697962680165,6,0.05
45,1500,False,0.9499391830342377,0.022703219100986053,0.9593052028719474,6,0.05
46,1500,False,0.13481695222937992,0.21226319255237242,0.13403466697359212,6,0.05
47,1500,False,0.048960486570602334,0.06143567500845152,0.04883447456617962,6,0.05
48,1500,False,0.18730553290183016,0.23829718055454258,0.18679046575382297,6,0.05
49,1500,False,0.03048866476911719,0.05884345584918791,0.030202252738005364,6,0.05
